Timestamp,"What aspects of Sunder Nursery do you value the most? 
(आप सुंदर नर्सरी के किन पहलुओं को सबसे अधिक महत्व देते हैं?)","Sunder Nursery is a 90-acre heritage park. Would you be willing to pay a slightly higher entry fee to guarantee the permanent protection of the park's monuments, gardens, and birds? 
(क्या आप पार्क की स्थायी सुरक्षा सुनिश्चित करने के लिए थोड़ा अधिक प्रवेश शुल्क देने को तैयार होंगे?)","What is the MAXIMUM extra amount you would be willing to pay per visit? 
(प्रति विजिट आप अधिकतम कितनी अतिरिक्त राशि देने को तैयार होंगे?)","Since you chose NOT to pay extra, what is your main reason? 
(चूँकि आपने अतिरिक्त भुगतान नहीं करने का विकल्प चुना है, तो इसका मुख्य कारण क्या है?)","How important is it to you that Sunder Nursery is preserved for future generations? 
(आपके लिए यह कितना महत्वपूर्ण है कि सुंदर नर्सरी को भावी पीढ़ियों के लिए संरक्षित किया जाए?)","Would you support the conservation of this park even if you could never visit it again? 
(क्या आप इस पार्क के संरक्षण का समर्थन करेंगे, भले ही आप यहां दोबारा कभी न आ सकें?)","How would you rate the current ecological condition of Sunder Nursery? 
(आप सुंदर नर्सरी की वर्तमान पारिस्थितिक स्थिति को कैसे आंकेंगे?)","Which neighborhood, locality, or PIN code did you travel from today? 
(आज आप किस इलाके या पिन कोड से यहाँ आए हैं?)","What was your primary mode of transport today? 
(आज आपका यातायात का मुख्य साधन क्या था?)","Is Sunder Nursery the ONLY place you traveled to visit on this trip? 
(क्या इस यात्रा में आप केवल सुंदर नर्सरी देखने आए हैं?)","What is your estimated one-way travel cost to reach here? 
(यहाँ पहुँचने का आपका अनुमानित एक तरफ़ा यात्रा खर्च क्या है?)","How much time did it take you to reach the park today (one way)? 
(आज आपको पार्क तक पहुँचने में कितना समय लगा?)","How often do you visit Sunder Nursery? 
(आप सुंदर नर्सरी कितनी बार आते हैं?)","Your age group 
(आपकी आयु वर्ग)","Your occupation & approximate monthly income 
(आपका पेशा और अनुमानित मासिक आय)"
4/10/2026 17:30:00,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110048,Metro or Bus | मेट्रो या बस,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,15–30 min | 15–30 मिनट,1–3 times a month | महीने में 1-3 बार,Under 18,Student | विद्यार्थी
4/10/2026 17:32:02,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",No | नहीं,,"The government/management should pay, not visitors | सरकार/प्रबंधन को खर्च उठाना चाहिए, आगंतुकों को नहीं",Very important | बहुत ज़रूरी,No | नहीं,Good | अच्छी,110001,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,31–60 min | 31–60 मिनट,First time | पहली बार,36–60,"₹50,000–₹1,00,000"
4/10/2026 17:34:40,Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता,Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110013,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹51–₹100,15–30 min | 15–30 मिनट,Rarely | शायद ही कभी,18–35,"₹50,000–₹1,00,000"
4/10/2026 17:39:30,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹10 extra | ₹10 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,No | नहीं,Excellent | उत्कृष्ट,110020,Personal Car or Bike | अपनी कार या बाइक,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹51–₹100,15–30 min | 15–30 मिनट,Weekly or more | हफ्ते में एक बार या ज़्यादा,Under 18,Student | विद्यार्थी
4/10/2026 17:40:32,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",No | नहीं,,I do not think the park is worth paying more for | मुझे नहीं लगता कि इसके लिए अधिक भुगतान करना उचित है,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110021,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹51–₹100,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,18–35,Student | विद्यार्थी
4/10/2026 17:45:11,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹100 extra | ₹100 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Good | अच्छी,110003,Personal Car or Bike | अपनी कार या बाइक,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹101–₹200,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,Student | विद्यार्थी
4/10/2026 17:48:23,Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता,Yes | हाँ,₹100 extra | ₹100 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,Sarojini Nagar,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",More than ₹200 | ₹200 से ज़्यादा,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,Student | विद्यार्थी
4/10/2026 17:50:48,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,I cannot afford to pay more | मैं और अधिक भुगतान नहीं कर सकता,Very important | बहुत ज़रूरी,No | नहीं,Good | अच्छी,110048,Metro or Bus | मेट्रो या बस,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹21–₹50,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,"Under ₹50,000 | ₹50,000 से कम"
4/10/2026 17:51:47,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Average | औसत,Sarojini Nagar,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹21–₹50,31–60 min | 31–60 मिनट,1–3 times a month | महीने में 1-3 बार,18–35,"Under ₹50,000 | ₹50,000 से कम"
4/10/2026 17:55:27,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",No | नहीं,,I cannot afford to pay more | मैं और अधिक भुगतान नहीं कर सकता,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,Lajpat Nagar,Personal Car or Bike | अपनी कार या बाइक,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",More than ₹200 | ₹200 से ज़्यादा,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,Student | विद्यार्थी
